Year,Primary Type,total,arrests,arrest_rate
2023,OFFENSE INVOLVING CHILDREN,1749,183,10.5
2023,OTHER NARCOTIC VIOLATION,2,0,0.0
2023,OTHER OFFENSE,15730,2485,15.8
2023,PROSTITUTION,209,198,94.7
2023,PUBLIC INDECENCY,6,5,83.3
2023,PUBLIC PEACE VIOLATION,862,389,45.1
2023,ROBBERY,11050,665,6.0
2023,SEX OFFENSE,1366,101,7.4
2023,STALKING,531,34,6.4
2023,THEFT,57506,2859,5.0
2023,WEAPONS VIOLATION,8608,4995,58.0
2024,ARSON,481,44,9.1
2024,ASSAULT,23480,2530,10.8
2024,BATTERY,46143,7901,17.1
2024,BURGLARY,8430,463,5.5
2024,CONCEALED CARRY LICENSE VIOLATION,196,192,98.0
2024,CRIMINAL DAMAGE,28555,1106,3.9
2024,CRIMINAL SEXUAL ASSAULT,1610,71,4.4
2024,CRIMINAL TRESPASS,4951,1431,28.9
2024,DECEPTIVE PRACTICE,16230,533,3.3
2024,GAMBLING,22,22,100.0
2024,HOMICIDE,595,227,38.2
2024,HUMAN TRAFFICKING,19,0,0.0
2024,INTERFERENCE WITH PUBLIC OFFICER,691,610,88.3
2024,INTIMIDATION,164,7,4.3
2024,KIDNAPPING,97,6,6.2
2024,LIQUOR LAW VIOLATION,196,186,94.9
2024,MOTOR VEHICLE THEFT,21711,606,2.8
2024,NARCOTICS,5990,5771,96.3
2024,NON-CRIMINAL,3,1,33.3
2024,OBSCENITY,62,29,46.8
2024,OFFENSE INVOLVING CHILDREN,1688,149,8.8
2024,OTHER NARCOTIC VIOLATION,5,3,60.0
2024,OTHER OFFENSE,17124,3294,19.2
2024,PROSTITUTION,307,294,95.8
2024,PUBLIC INDECENCY,9,8,88.9
2024,PUBLIC PEACE VIOLATION,979,483,49.3
2024,ROBBERY,9116,752,8.2
2024,SEX OFFENSE,1250,109,8.7
2024,STALKING,517,35,6.8
2024,THEFT,60528,4122,6.8
2024,WEAPONS VIOLATION,7839,4807,61.3
2025,ARSON,372,41,11.0
2025,ASSAULT,21556,2671,12.4
2025,BATTERY,42525,8088,19.0
2025,BURGLARY,9708,453,4.7
2025,CONCEALED CARRY LICENSE VIOLATION,277,269,97.1
2025,CRIMINAL DAMAGE,26204,1125,4.3
2025,CRIMINAL SEXUAL ASSAULT,1670,46,2.8
2025,CRIMINAL TRESPASS,5322,1679,31.5
2025,DECEPTIVE PRACTICE,14668,443,3.0
2025,GAMBLING,13,12,92.3
2025,HOMICIDE,426,136,31.9
2025,HUMAN TRAFFICKING,15,1,6.7
2025,INTERFERENCE WITH PUBLIC OFFICER,915,838,91.6
2025,INTIMIDATION,143,3,2.1
2025,KIDNAPPING,89,7,7.9
2025,LIQUOR LAW VIOLATION,200,186,93.0
2025,MOTOR VEHICLE THEFT,17227,576,3.3
2025,NARCOTICS,7417,7032,94.8
2025,NON-CRIMINAL,3,3,100.0
2025,OBSCENITY,54,28,51.9
2025,OFFENSE INVOLVING CHILDREN,1533,107,7.0
2025,OTHER NARCOTIC VIOLATION,10,5,50.0
2025,OTHER OFFENSE,16725,3383,20.2
2025,PROSTITUTION,189,172,91.0
2025,PUBLIC INDECENCY,10,10,100.0
2025,PUBLIC PEACE VIOLATION,1056,535,50.7
2025,ROBBERY,5817,544,9.4
2025,SEX OFFENSE,1306,109,8.3
2025,STALKING,565,24,4.2
2025,THEFT,55007,4916,8.9
2025,WEAPONS VIOLATION,5444,4224,77.6
