Year,Primary Type,total,arrests,arrest_rate
2012,LIQUOR LAW VIOLATION,573,562,98.1
2012,MOTOR VEHICLE THEFT,16490,868,5.3
2012,NARCOTICS,35489,35228,99.3
2012,OBSCENITY,26,23,88.5
2012,OFFENSE INVOLVING CHILDREN,2353,453,19.3
2012,OTHER NARCOTIC VIOLATION,6,4,66.7
2012,OTHER OFFENSE,17524,2765,15.8
2012,PROSTITUTION,2204,2189,99.3
2012,PUBLIC INDECENCY,17,17,100.0
2012,PUBLIC PEACE VIOLATION,3007,2251,74.9
2012,ROBBERY,13484,1385,10.3
2012,SEX OFFENSE,1089,296,27.2
2012,STALKING,207,38,18.4
2012,THEFT,75464,8250,10.9
2012,WEAPONS VIOLATION,3907,3264,83.5
2013,ARSON,364,46,12.6
2013,ASSAULT,17972,4467,24.9
2013,BATTERY,54006,12928,23.9
2013,BURGLARY,17894,1104,6.2
2013,CRIM SEXUAL ASSAULT,1249,228,18.3
2013,CRIMINAL DAMAGE,30856,2107,6.8
2013,CRIMINAL SEXUAL ASSAULT,107,20,18.7
2013,CRIMINAL TRESPASS,8136,6074,74.7
2013,DECEPTIVE PRACTICE,13947,2521,18.1
2013,GAMBLING,596,591,99.2
2013,HOMICIDE,431,204,47.3
2013,HUMAN TRAFFICKING,2,1,50.0
2013,INTERFERENCE WITH PUBLIC OFFICER,1281,1203,93.9
2013,INTIMIDATION,135,20,14.8
2013,KIDNAPPING,242,34,14.0
2013,LIQUOR LAW VIOLATION,465,448,96.3
2013,MOTOR VEHICLE THEFT,12582,834,6.6
2013,NARCOTICS,34129,33821,99.1
2013,OBSCENITY,25,19,76.0
2013,OFFENSE INVOLVING CHILDREN,2523,448,17.8
2013,OTHER NARCOTIC VIOLATION,5,4,80.0
2013,OTHER OFFENSE,18051,3414,18.9
2013,PROSTITUTION,1652,1648,99.8
2013,PUBLIC INDECENCY,10,10,100.0
2013,PUBLIC PEACE VIOLATION,3135,2330,74.3
2013,ROBBERY,11819,1332,11.3
2013,SEX OFFENSE,1062,297,28.0
2013,STALKING,154,32,20.8
2013,THEFT,71536,7727,10.8
2013,WEAPONS VIOLATION,3245,2667,82.2
2014,ARSON,397,34,8.6
2014,ASSAULT,16903,4508,26.7
2014,BATTERY,49455,12522,25.3
2014,BURGLARY,14569,910,6.2
2014,CONCEALED CARRY LICENSE VIOLATION,15,12,80.0
2014,CRIM SEXUAL ASSAULT,1291,183,14.2
2014,CRIMINAL DAMAGE,27799,2095,7.5
2014,CRIMINAL SEXUAL ASSAULT,109,18,16.5
2014,CRIMINAL TRESPASS,7539,5490,72.8
2014,DECEPTIVE PRACTICE,15995,1776,11.1
2014,GAMBLING,393,392,99.7
2014,HOMICIDE,429,199,46.4
2014,HUMAN TRAFFICKING,3,0,0.0
2014,INTERFERENCE WITH PUBLIC OFFICER,1399,1324,94.6
2014,INTIMIDATION,115,27,23.5
2014,KIDNAPPING,220,18,8.2
2014,LIQUOR LAW VIOLATION,397,386,97.2
2014,MOTOR VEHICLE THEFT,9911,763,7.7
2014,NARCOTICS,29118,29002,99.6
2014,OBSCENITY,39,29,74.4
2014,OFFENSE INVOLVING CHILDREN,2566,489,19.1
2014,OTHER NARCOTIC VIOLATION,10,8,80.0
2014,OTHER OFFENSE,17020,4172,24.5
2014,PROSTITUTION,1625,1612,99.2
2014,PUBLIC INDECENCY,10,10,100.0
2014,PUBLIC PEACE VIOLATION,2903,2349,80.9
2014,ROBBERY,9800,1051,10.7
2014,SEX OFFENSE,1026,253,24.7
2014,STALKING,142,28,19.7
2014,THEFT,61569,7423,12.1
2014,WEAPONS VIOLATION,3113,2581,82.9
2015,ARSON,453,52,11.5
2015,ASSAULT,17048,4061,23.8
2015,BATTERY,48927,11566,23.6
2015,BURGLARY,13184,728,5.5
2015,CONCEALED CARRY LICENSE VIOLATION,34,33,97.1
2015,CRIM SEXUAL ASSAULT,1323,162,12.2
2015,CRIMINAL DAMAGE,28677,1835,6.4
2015,CRIMINAL SEXUAL ASSAULT,139,20,14.4
2015,CRIMINAL TRESPASS,6401,4396,68.7
2015,DECEPTIVE PRACTICE,16492,1019,6.2
2015,GAMBLING,310,310,100.0
2015,HOMICIDE,502,220,43.8
2015,HUMAN TRAFFICKING,13,4,30.8
2015,INTERFERENCE WITH PUBLIC OFFICER,1308,1253,95.8
2015,INTIMIDATION,123,21,17.1
2015,KIDNAPPING,190,15,7.9
2015,LIQUOR LAW VIOLATION,292,291,99.7
2015,MOTOR VEHICLE THEFT,10068,1003,10.0
2015,NARCOTICS,23939,23931,100.0
2015,NON-CRIMINAL,1,1,100.0
2015,OBSCENITY,49,35,71.4
2015,OFFENSE INVOLVING CHILDREN,2523,447,17.7
2015,OTHER NARCOTIC VIOLATION,5,2,40.0
2015,OTHER OFFENSE,17566,4797,27.3
2015,PROSTITUTION,1322,1320,99.8
2015,PUBLIC INDECENCY,14,14,100.0
2015,PUBLIC PEACE VIOLATION,2422,1881,77.7
2015,ROBBERY,9638,935,9.7
2015,SEX OFFENSE,1052,235,22.3
2015,STALKING,155,31,20.0
2015,THEFT,57353,6776,11.8
2015,WEAPONS VIOLATION,3364,2683,79.8
2016,ARSON,516,53,10.3
2016,ASSAULT,18743,3494,18.6
2016,BATTERY,50300,10335,20.5
2016,BURGLARY,14289,698,4.9
2016,CONCEALED CARRY LICENSE VIOLATION,36,34,94.4
2016,CRIM SEXUAL ASSAULT,1467,145,9.9
2016,CRIMINAL DAMAGE,31018,1669,5.4
2016,CRIMINAL SEXUAL ASSAULT,161,36,22.4
2016,CRIMINAL TRESPASS,6306,3724,59.1
2016,DECEPTIVE PRACTICE,19443,834,4.3
2016,GAMBLING,189,189,100.0
2016,HOMICIDE,790,293,37.1
2016,HUMAN TRAFFICKING,11,2,18.2
2016,INTERFERENCE WITH PUBLIC OFFICER,936,887,94.8
2016,INTIMIDATION,136,25,18.4
2016,KIDNAPPING,202,15,7.4
2016,LIQUOR LAW VIOLATION,227,226,99.6
2016,MOTOR VEHICLE THEFT,11285,1098,9.7
2016,NARCOTICS,13333,13327,100.0
2016,NON-CRIMINAL,1,0,0.0
2016,OBSCENITY,51,38,74.5
2016,OFFENSE INVOLVING CHILDREN,2512,373,14.8
2016,OTHER NARCOTIC VIOLATION,4,3,75.0
2016,OTHER OFFENSE,17309,3416,19.7
2016,PROSTITUTION,800,800,100.0
